State,District,Year,Living_Quarters_Count,Living_Quarters_Loss,Vehicles,Business_Premises,Manufacturing,Total_Loss,Loss_per_1000_Living_Quarters
Sarawak,Matu,2025,5536.0,2.4,0.0,0.0,0.0,2.4,0.43352601156069365
Sarawak,Asajaya,2024,8065.0,0.0,0.0,0.0,0.0,0.0,0.0
Sarawak,Asajaya,2025,8065.0,1031.25,24.0,51.74,0.0,1106.99,137.25852448853067
Sarawak,Pakan,2024,3377.0,0.0,0.0,0.0,0.0,0.0,0.0
Sarawak,Pakan,2025,3377.0,0.0,0.0,0.0,0.0,0.0,0.0
Sarawak,Selangau,2024,5746.0,0.0,0.0,0.0,0.0,0.0,0.0
Sarawak,Selangau,2025,5746.0,4115.741,18.716,114.7,0.0,4249.157,739.4982596588932
Sarawak,Tebedu,2024,5649.0,0.0,0.0,0.0,0.0,0.0,0.0
Sarawak,Tebedu,2025,5649.0,0.0,0.0,0.0,0.0,0.0,0.0
Sarawak,Pusa,2024,4605.0,0.0,0.0,0.0,0.0,0.0,0.0
Sarawak,Pusa,2025,4605.0,0.0,0.0,0.0,0.0,0.0,0.0
Sarawak,Kabong,2024,4234.0,0.0,0.0,0.0,0.0,0.0,0.0
Sarawak,Kabong,2025,4234.0,0.0,0.0,0.0,0.0,0.0,0.0
Sarawak,Tanjung Manis,2024,2539.0,0.0,0.0,0.0,0.0,0.0,0.0
Sarawak,Tanjung Manis,2025,2539.0,0.0,0.0,0.0,0.0,0.0,0.0
Sarawak,Sebauh,2024,9363.0,0.0,0.0,0.0,0.0,0.0,0.0
Sarawak,Sebauh,2025,9363.0,72.96,2.7,14.8,0.0,90.46,9.66143330129232
Sarawak,Bukit Mabong,2024,3677.0,0.0,0.0,0.0,0.0,0.0,0.0
Sarawak,Bukit Mabong,2025,3677.0,0.0,0.0,0.0,0.0,0.0,0.0
Sarawak,Subis,2024,16490.0,0.0,0.0,0.0,0.0,0.0,0.0
Sarawak,Subis,2025,16490.0,1516.7,22.63,46.714,0.0,1586.044,96.182171012735
Sarawak,Beluru,2024,7284.0,0.0,0.0,0.0,0.0,0.0,0.0
Sarawak,Beluru,2025,7284.0,145.582,2.1,8.01,0.0,155.69199999999998,21.374519494783083
Sarawak,Telang Usan,2024,4136.0,0.0,0.0,0.0,0.0,0.0,0.0
Sarawak,Telang Usan,2025,4136.0,32.5,0.0,7.73,0.0,40.230000000000004,9.72678916827853
W.P. Putrajaya,1. *Bilangan Tempat Kediaman merujuk kepada data Banci Penduduk dan Perumahan Malaysia 2020,2024,0.0,0.0,0.0,0.0,0.0,0.0,0
W.P. Putrajaya,1. *Bilangan Tempat Kediaman merujuk kepada data Banci Penduduk dan Perumahan Malaysia 2020,2025,0.0,0.0,0.0,0.0,0.0,0.0,0
W.P. Putrajaya,Number of Living Quarters refers to the data of Population and Housing Census Malaysia 2020,2024,0.0,0.0,0.0,0.0,0.0,0.0,0
W.P. Putrajaya,Number of Living Quarters refers to the data of Population and Housing Census Malaysia 2020,2025,0.0,0.0,0.0,0.0,0.0,0.0,0
W.P. Putrajaya,"2. ""-""  Tidak terkesan banjir",2024,0.0,0.0,0.0,0.0,0.0,0.0,0
W.P. Putrajaya,"2. ""-""  Tidak terkesan banjir",2025,0.0,0.0,0.0,0.0,0.0,0.0,0
W.P. Putrajaya,"""-"" Not affected by the flood",2024,0.0,0.0,0.0,0.0,0.0,0.0,0
W.P. Putrajaya,"""-"" Not affected by the flood",2025,0.0,0.0,0.0,0.0,0.0,0.0,0
